Meldedatum, value, difference, trend
2020-01-03, , , 
2020-01-04, , , 
2020-01-05, , , 
2020-01-06, , , 
2020-01-07, , , 
2020-01-08, , , 
2020-01-09, , , 
2020-01-10, , , 
2020-01-11, , , 
2020-01-12, , , 
2020-01-13, , , 
2020-01-14, , , 
2020-01-15, , , 
2020-01-16, , , 
2020-01-17, , , 
2020-01-18, , , 
2020-01-19, , , 
2020-01-20, , , 
2020-01-21, , , 
2020-01-22, , , 
2020-01-23, , , 
2020-01-24, , , 
2020-01-25, , , 
2020-01-26, , , 
2020-01-27, , , 
2020-01-28, , , 
2020-01-29, , , 
2020-01-30, , , 
2020-01-31, , , 
2020-02-01, , , 
2020-02-02, , , 
2020-02-03, , , 
2020-02-04, , , 
2020-02-05, , , 
2020-02-06, , , 
2020-02-07, , , 
2020-02-08, , , 
2020-02-09, , , 
2020-02-10, , , 
2020-02-11, , , 
2020-02-12, , , 
2020-02-13, , , 
2020-02-14, , , 
2020-02-15, , , 
2020-02-16, , , 
2020-02-17, , , 
2020-02-18, , , 
2020-02-19, , , 
2020-02-20, , , 
2020-02-21, , , 
2020-02-22, , , 
2020-02-23, , , 
2020-02-24, , , 
2020-02-25, , , 
2020-02-26, , , 
2020-02-27, , , 
2020-02-28, , , 
2020-02-29, 0.1, , 
2020-03-01, 0.1, , 
2020-03-02, 0.2, , 
2020-03-03, 0.2, , 
2020-03-04, 0.3, , 
2020-03-05, 0.5, , 
2020-03-06, 0.7, , 
2020-03-07, 0.9, , 
2020-03-08, 1, , 
2020-03-09, 1.1, , 
2020-03-10, 1.5, 0.4637, 0.0011
2020-03-11, 2.1, 0.8794, 0.0021
2020-03-12, 2.8, 1.6123, 0.0039
2020-03-13, 3.8, 2.1481, 0.0052
2020-03-14, 5.3, 2.9254, 0.0071
2020-03-15, 6.7, 3.6366, 0.0088
2020-03-16, 7.7, 4.9161, 0.0119
2020-03-17, 9.8, 6.4875, 0.0157
2020-03-18, 12.7, 6.6713, 0.0161
2020-03-19, 16.1, 8.4169, 0.0204
2020-03-20, 19.8, 10.2586, 0.0248
2020-03-21, 22.9, 11.0636, 0.0268
2020-03-22, 25.4, 11.2017, 0.0271
2020-03-23, 26.9, 13.5769, 0.0328
2020-03-24, 29, 15.2444, 0.0369
2020-03-25, 31.2, 16.0637, 0.0388
2020-03-26, 33.7, 15.4078, 0.0373
2020-03-27, 35.9, 15.1351, 0.0366
2020-03-28, 38.2, 16.2079, 0.0392
2020-03-29, 39.8, 16.0866, 0.0389
2020-03-30, 40.8, 15.2949, 0.037
2020-03-31, 41.3, 13.0915, 0.0317
2020-04-01, 42.7, 12.1989, 0.0295
2020-04-02, 43.4, 10.8581, 0.0263
2020-04-03, 44.2, 9.1089, 0.022
