Meldedatum, difference, group, quantity, trend, value
2022-06-08, , gleichbleibend, 17, , 41.2
2022-06-15, -7.9, gleichbleibend, 21, -0.2894, 33.3
2022-06-22, -1.5, gleichbleibend, 22, -0.0549, 31.8
2022-06-29, 9.1, gleichbleibend, 22, 0.2607, 40.9
2022-07-06, 18.2, gleichbleibend, 22, 0.5215, 59.1
2022-07-13, -18.2, gleichbleibend, 22, -0.6667, 40.9
2022-07-20, 18.2, gleichbleibend, 22, 0.5215, 59.1
2022-07-27, -9.1, gleichbleibend, 22, -0.3333, 50
2022-08-03, -27.3, gleichbleibend, 22, -1, 22.7
2022-08-10, -4.5, gleichbleibend, 22, -0.1648, 18.2
2022-08-17, , gleichbleibend, 22, , 18.2
2022-08-24, 18.2, gleichbleibend, 22, 0.5215, 36.4
2022-08-31, 9.1, gleichbleibend, 22, 0.2607, 45.5
2022-09-07, 9, gleichbleibend, 22, 0.2579, 54.5
2022-09-14, -22.7, gleichbleibend, 22, -0.8315, 31.8
2022-09-21, -9.1, gleichbleibend, 22, -0.3333, 22.7
2022-09-28, 4.6, gleichbleibend, 22, 0.1318, 27.3
2022-10-05, 4.5, gleichbleibend, 22, 0.1289, 31.8
2022-10-12, 34.9, gleichbleibend, 21, 1, 66.7
2022-10-19, -21.7, gleichbleibend, 20, -0.7949, 45
2022-10-26, , gleichbleibend, 20, , 45
2022-11-02, -13.4, gleichbleibend, 19, -0.4908, 31.6
2022-11-09, -9.4, gleichbleibend, 18, -0.3443, 22.2
2022-11-16, 8.6, gleichbleibend, 13, 0.2464, 30.8
